,pid,total_msgs,study_wk,system_msgs,nurse_msgs,participant_msgs,messaging_rate
0,15,92,61.14285714,30,27,35,1.5046728972665735
1,5,60,18.28571429,35,12,13,3.281249999230957
2,501,63,60.85714286,40,12,11,1.0352112675570322
3,502,49,21.28571429,42,4,3,2.3020134223552993
4,1,113,60.85714286,51,24,38,1.856807511649915
5,2,68,22.0,42,11,15,3.090909090909091
6,507,28,33.85714286,17,5,6,0.8270042193394932
7,3,116,19.28571429,25,38,53,6.014814813478189
8,4,38,60.85714286,11,13,14,0.6244131455105909
9,6,104,60.85714286,31,29,44,1.708920187713196
10,7,91,22.0,46,17,28,4.136363636363637
11,503,15,10.85714286,15,0,0,1.3815789470048476
12,8,162,20.14285714,39,49,74,8.04255319263015
13,504,74,17.85714286,49,12,13,4.14399999933696
14,9,13,31.85714286,12,1,0,0.4080717488423254
15,10,24,60.85714286,6,9,9,0.3943661971645837
16,505,20,35.14285714,17,2,1,0.5691056911031793
17,11,10,5.1428571430000005,10,0,0,1.9444444443904318
18,506,99,60.85714286,47,21,31,1.626760563303908
19,12,167,60.85714286,41,49,77,2.7441314552702285
20,508,22,13.85714286,17,2,3,1.5876288656520354
21,509,15,36.14285714,11,3,1,0.4150197628786577
22,510,16,9.0,12,2,2,1.7777777777777777
23,13,17,14.85714286,17,0,0,1.144230769010725
24,511,46,18.85714286,17,15,14,2.439393939024334
25,512,74,60.71428571,44,14,16,1.2188235294977994
26,14,49,20.0,29,10,10,2.45
27,513,44,60.71428571,39,3,2,0.724705882404097
28,514,72,60.71428571,29,21,22,1.1858823530248859
29,16,17,9.0,10,3,4,1.8888888888888888
30,30,125,60.71428571,44,37,44,2.0588235295570936
31,515,17,14.0,17,0,0,1.2142857142857142
32,516,15,9.571428571,14,0,1,1.5671641791746491
33,517,40,16.57142857,17,10,13,2.413793103656362
34,17,40,33.14285714,17,11,12,1.206896551828181
35,518,16,11.71428571,16,0,0,1.365853659036288
36,519,5,6.285714286,5,0,0,0.7954545454183884
37,520,45,17.57142857,25,10,10,2.560975609964307
38,521,15,10.42857143,15,0,0,1.4383561641865266
39,522,142,60.57142857,51,39,52,2.3443396226968005
40,18,27,8.0,12,7,8,3.375
41,19,2,0.0,1,0,1,inf
42,523,105,60.57142857,51,24,30,1.73349056607862
43,20,20,60.57142857,16,3,1,0.3301886792530705
44,524,11,5.285714286,10,0,1,2.0810810809685902
45,525,73,60.57142857,47,13,13,1.2051886792737072
46,526,19,14.42857143,17,1,1,1.3168316830379374
47,21,17,32.71428571,15,1,1,0.5196506550899106
48,527,104,17.57142857,43,28,33,5.918699187473066
49,22,69,19.85714286,40,13,16,3.474820143384918
50,23,131,33.42857143,43,30,58,3.9188034186359486
51,528,17,14.28571429,17,0,0,1.189999999643
